Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Status
vogue-superior-deluxe,Vogue Superior Deluxe,<p>De Vogue Superior Deluxe is het premium model in het Vogue-gamma. De krachtige Ananda M81 middenmotor en Shimano Nexus 8-versnellingsnaaf bieden maximaal rijcomfort voor de veeleisende fietser. Met een 540 Wh accu rijd je comfortabel de langste afstanden.</p><ul><li>Krachtige Ananda M81 middenmotor</li><li>Shimano Nexus 8 versnellingsnaaf</li><li>540 Wh accu</li><li>Premium uitvoering</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, middenmotor, ananda-m81, shimano-nexus-8, 540wh, premium",TRUE,Kleur,Mat Zwart,,,shopify,deny,manual,2998.00,3199.00,TRUE,TRUE,,,,FALSE,active
vogue-superior-deluxe,,,,,,,,Mat Zwart/Bruin,,,shopify,deny,manual,2998.00,3199.00,TRUE,TRUE,,,,,active
vogue-milo,Vogue Milo,"<p>De Vogue Milo is een innovatieve elektrische fiets met de Bafang H700 motor en automatische 2-speed Gates riemaandrijving. Volledig geveerd voor maximaal rijcomfort en compleet uitgerust met vouwslot, voordrager en MIK-bagagedrager standaard inbegrepen.</p><ul><li>Bafang H700 met automatische 2-speed aandrijving</li><li>Volledig geveerd met Gates riemaandrijving</li><li>Inclusief vouwslot, voordrager en MIK-bagagedrager</li></ul>",Vogue,Elektrische fiets,"elektrische-fiets, vogue, bafang-h700, gates-riem, geveerd, compleet, 2-speed",TRUE,Kleur,Tiffany Blauw,,,shopify,deny,manual,1698.00,1799.00,TRUE,TRUE,,,,FALSE,active
vogue-milo,,,,,,,,Fashion Grijs,,,shopify,deny,manual,1698.00,1799.00,TRUE,TRUE,,,,,active
vogue-milo,,,,,,,,Mouse Grijs,,,shopify,deny,manual,1698.00,1799.00,TRUE,TRUE,,,,,active
vogue-milo,,,,,,,,Shine Zwart,,,shopify,deny,manual,1698.00,1799.00,TRUE,TRUE,,,,,active
vogue-milo,,,,,,,,Lily Groen,,,shopify,deny,manual,1698.00,1799.00,TRUE,TRUE,,,,,active
vogue-milo,,,,,,,,Mat Titaniumgrijs,,,shopify,deny,manual,1698.00,1799.00,TRUE,TRUE,,,,,active
vogue-motion,Vogue Motion,"<p>De Vogue Motion is een elegante elektrische fiets met de innovatieve Bafang H700 dual speed achtermotor en automatische 2-speed Gates riemaandrijving. Onderhoudsarm en stijlvol, met voldoende bereik voor dagelijks gebruik. Verkrijgbaar voor dames en heren in meerdere kleuren.</p><ul><li>Bafang H700 dual speed achtermotor</li><li>Automatische 2-speed Gates riemaandrijving</li><li>360 Wh accu</li><li>Onderhoudsarm</li></ul>",Vogue,Elektrische fiets,"elektrische-fiets, vogue, bafang-h700, gates-riem, 2-speed, 360wh",TRUE,Kleur,Mat Zandwit,,,shopify,deny,manual,1499.00,1549.00,TRUE,TRUE,,,,FALSE,active
vogue-motion,,,,,,,,Mat Zwart (Heren),,,shopify,deny,manual,1499.00,1549.00,TRUE,TRUE,,,,,active
vogue-motion,,,,,,,,Mat Titaniumgrijs (Dames),,,shopify,deny,manual,1499.00,1549.00,TRUE,TRUE,,,,,active
vogue-motion,,,,,,,,Mat Titaniumgrijs (Heren),,,shopify,deny,manual,1499.00,1549.00,TRUE,TRUE,,,,,active
vogue-motion,,,,,,,,Mouse Grijs,,,shopify,deny,manual,1499.00,1549.00,TRUE,TRUE,,,,,active
vogue-motion,,,,,,,,Mat Zwart (Dames),,,shopify,deny,manual,1499.00,1549.00,TRUE,TRUE,,,,,active
vogue-motion,,,,,,,,Cement Grijs,,,shopify,deny,manual,1499.00,1549.00,TRUE,TRUE,,,,,active
vogue-motion-plus,Vogue Motion Plus,<p>De Vogue Motion Plus is de verbeterde versie van de populaire Motion met een grotere 504 Wh intube accu voor een nog ruimere actieradius. De Bafang H700 dual speed achtermotor en automatische 2-speed Gates riemaandrijving zorgen voor een soepele en onderhoudsarme rijervaring.</p><ul><li>Bafang H700 dual speed achtermotor</li><li>Automatische 2-speed Gates riemaandrijving</li><li>504 Wh intube accu — grotere actieradius</li><li>Onderhoudsarm</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, bafang-h700, gates-riem, 2-speed, 504wh, intube",TRUE,Kleur,Kleur 1,SW10665.1,,shopify,deny,manual,1599.00,1699.00,TRUE,TRUE,,,,FALSE,active
vogue-motion-plus,,,,,,,,Kleur 2,SW10665.2,,shopify,deny,manual,1599.00,1699.00,TRUE,TRUE,,,,,active
vogue-motion-plus,,,,,,,,Kleur 3,SW10665.3,,shopify,deny,manual,1599.00,1699.00,TRUE,TRUE,,,,,active
vogue-motion-plus,,,,,,,,Kleur 4,SW10665.4,,shopify,deny,manual,1599.00,1699.00,TRUE,TRUE,,,,,active
vogue-carry-3-bafang-max,Vogue Carry 3 Bafang Max,<p>De Vogue Carry 3 Bafang Max is de krachtigste uitvoering van de Carry 3-lijn met de Bafang M400 middenmotor. De Shimano Nexus 8-versnellingsnaaf en 468 Wh accu maken hem geschikt voor intensief dagelijks gebruik en langere tochten.</p><ul><li>Krachtige Bafang M400 middenmotor</li><li>Shimano Nexus 8 versnellingsnaaf</li><li>468 Wh accu</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, middenmotor, bafang-m400, shimano-nexus-8, 468wh",TRUE,Kleur,Mat Zwart/Bruin,,,shopify,deny,manual,2749.00,2899.00,TRUE,TRUE,,,,FALSE,active
vogue-carry-3-bafang-max,,,,,,,,Mat Zwart,,,shopify,deny,manual,2749.00,2899.00,TRUE,TRUE,,,,,active
vogue-carry-3-bafang-max,,,,,,,,Zwart/Bruin,,,shopify,deny,manual,2749.00,2899.00,TRUE,TRUE,,,,,active
vogue-avenger,Vogue Avenger,<p>De Vogue Avenger is een krachtige elektrische fiets voor de fietser die het beste verlangt. De Ananda M100 middenmotor en Shimano Nexus 8-naaf leveren uitstekende prestaties voor alle rijomstandigheden. Met 540 Wh accu rijd je comfortabel de langste afstanden.</p><ul><li>Ananda M100 middenmotor</li><li>Shimano Nexus 8 versnellingsnaaf</li><li>540 Wh accu</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, middenmotor, ananda-m100, shimano-nexus-8, 540wh",TRUE,Kleur,Zwart/Bruin,,,shopify,deny,manual,2928.00,3399.00,TRUE,TRUE,,,,FALSE,active
vogue-avenger,,,,,,,,Zwart,,,shopify,deny,manual,2928.00,3399.00,TRUE,TRUE,,,,,active
vogue-artemis,Vogue Artemis,<p>De Vogue Artemis verbindt kracht en elegantie in een compacte elektrische fiets. De Ananda M81 middenmotor met 60 Nm koppel en Shimano Nexus 7-naaf met Gates riemaandrijving zorgen voor een soepele en onderhoudsarme rijervaring. De 468 Wh accu geeft voldoende bereik.</p><ul><li>Ananda M81 middenmotor — 60 Nm koppel</li><li>Shimano Nexus 7 met Gates riemaandrijving</li><li>468 Wh accu</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, middenmotor, ananda-m81, shimano-nexus-7, gates-riem, 468wh",TRUE,Kleur,Lily Groen,,,shopify,deny,manual,1999.00,2149.00,TRUE,TRUE,,,,FALSE,active
vogue-artemis,,,,,,,,Mat Grijs,,,shopify,deny,manual,1999.00,2149.00,TRUE,TRUE,,,,,active
vogue-artemis,,,,,,,,Mat Zwart,,,shopify,deny,manual,1999.00,2149.00,TRUE,TRUE,,,,,active
vogue-prestige-belt-drive,Vogue Prestige Belt-Drive,<p>De Vogue Prestige Belt-Drive is een premium elektrische fiets met de krachtige Motinova middenmotor van 80 Nm. De Shimano Nexus 7-naaf en riemaandrijving zorgen voor een stijlvolle en krachtige rijervaring met minimaal onderhoud. De 522 Wh accu biedt uitstekend bereik.</p><ul><li>Motinova middenmotor — 80 Nm koppel</li><li>Shimano Nexus 7 versnellingsnaaf</li><li>Riemaandrijving — onderhoudsarm</li><li>522 Wh accu</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, middenmotor, motinova, shimano-nexus-7, riem, 522wh",TRUE,Kleur,Cool Grijs,,,shopify,deny,manual,1949.00,2299.00,TRUE,TRUE,,,,FALSE,active
vogue-prestige-belt-drive,,,,,,,,Cement Grijs,,,shopify,deny,manual,1949.00,2299.00,TRUE,TRUE,,,,,active
vogue-prestige-belt-drive,,,,,,,,Fashion Grijs,,,shopify,deny,manual,1949.00,2299.00,TRUE,TRUE,,,,,active
vogue-avalanche,Vogue Avalanche,<p>De Vogue Avalanche is een imposante elektrische fiets aangedreven door de krachtige Ananda M100 middenmotor van 110 Nm. De traploos schakelende Enviolo naaf met riemaandrijving zorgt voor maximaal rijcomfort zonder schakelmomenten. De lage instap met robuuste mand voorop maakt hem ideaal voor dagelijks gebruik.</p><ul><li>Ananda M100 middenmotor — 110 Nm koppel</li><li>Enviolo traploos schakelen</li><li>Riemaandrijving — onderhoudsarm</li><li>Lage instap met mand voorop</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, middenmotor, ananda-m100, enviolo, riem, lage-instap",TRUE,Kleur,Cement Grijs,,,shopify,deny,manual,2998.00,3099.00,TRUE,TRUE,,,,FALSE,active
vogue-avalanche,,,,,,,,Mat Zwart,,,shopify,deny,manual,2998.00,3099.00,TRUE,TRUE,,,,,active
vogue-avalanche,,,,,,,,Cool Grijs,,,shopify,deny,manual,2998.00,3099.00,TRUE,TRUE,,,,,active
vogue-wonder-longtail,Vogue Wonder Longtail,<p>De Vogue Wonder Longtail is een unieke elektrische longtail-fiets met een enorme 960 Wh accu voor een maximale actieradius. De sterke 250W achterwielmotor en 7-speed derailleur maken hem geschikt voor zware belasting en lange afstanden. Ideaal voor gezinnen en vervoer van lading.</p><ul><li>Sterke 250W achterwielmotor</li><li>7-speed derailleur</li><li>960 Wh accu — maximale actieradius</li><li>Longtail-frame voor extra laadcapaciteit</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, achterwielmotor, 7-speed, 960wh, longtail",TRUE,Kleur,Mat Antraciet,,,shopify,deny,manual,1599.00,1699.00,TRUE,TRUE,,,,FALSE,active
vogue-wonder-longtail,,,,,,,,Mat Zwart,,,shopify,deny,manual,1599.00,1699.00,TRUE,TRUE,,,,,active
vogue-wonder-longtail,,,,,,,,Fashion Grijs,,,shopify,deny,manual,1599.00,1699.00,TRUE,TRUE,,,,,active
vogue-nova,Vogue Nova,<p>De Vogue Nova is een stijlvolle elektrische fiets met de betrouwbare Bafang H730 achterwielmotor en onderhoudsarme riemaandrijving. De 540 Wh accu biedt een uitstekende actieradius voor zowel korte als langere ritten. Verkrijgbaar in meerdere kleuren voor dames en heren.</p><ul><li>Bafang H730 achterwielmotor</li><li>Onderhoudsarme riemaandrijving</li><li>540 Wh accu</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, achterwielmotor, bafang-h730, riem, 540wh",TRUE,Kleur,Mat Grijs/Bruin,,,shopify,deny,manual,1799.00,1899.00,TRUE,TRUE,,,,FALSE,active
vogue-nova,,,,,,,,Mat Grijs (Dames),,,shopify,deny,manual,1799.00,1899.00,TRUE,TRUE,,,,,active
vogue-nova,,,,,,,,Mat Bruin (Heren),,,shopify,deny,manual,1799.00,1899.00,TRUE,TRUE,,,,,active
vogue-nova,,,,,,,,Mat Zwart (Heren),,,shopify,deny,manual,1799.00,1899.00,TRUE,TRUE,,,,,active
vogue-nova,,,,,,,,Mat Zwart (Dames),,,shopify,deny,manual,1799.00,1899.00,TRUE,TRUE,,,,,active
vogue-nova,,,,,,,,Fashion Grijs,,,shopify,deny,manual,1799.00,1899.00,TRUE,TRUE,,,,,active
vogue-nova,,,,,,,,Mat Grijs (Heren),,,shopify,deny,manual,1799.00,1899.00,TRUE,TRUE,,,,,active
vogue-suv,Vogue SUV,<p>De Vogue SUV is een krachtige elektrische fiets met de bewezen Shimano E7000 middenmotor. De Shimano Nexus 8-naaf gecombineerd met Gates riemaandrijving zorgt voor een soepele en onderhoudsarme rijervaring. De grote 720 Wh accu garandeert een maximale actieradius voor lange ritten.</p><ul><li>Shimano E7000 middenmotor</li><li>Shimano Nexus 8 met Gates riemaandrijving</li><li>720 Wh accu</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, middenmotor, shimano-e7000, shimano-nexus-8, gates-riem, 720wh",TRUE,Kleur,Mat Zwart,,,shopify,deny,manual,2349.00,2499.00,TRUE,TRUE,,,,FALSE,active
vogue-suv,,,,,,,,Mat Titaniumgrijs,,,shopify,deny,manual,2349.00,2499.00,TRUE,TRUE,,,,,active
vogue-pantheon,Vogue Pantheon,<p>De Vogue Pantheon is een volledig geveerde elektrische fiets met de krachtige Ananda M80 middenmotor van 80 Nm. De geïntegreerde 540 Wh accu en hydraulische schijfremmen zorgen voor een veilige en comfortabele rijervaring op elk terrein.</p><ul><li>Ananda M80 middenmotor — 80 Nm koppel</li><li>Geïntegreerde 540 Wh accu</li><li>Volledig geveerd</li><li>Hydraulische schijfremmen</li></ul>,Vogue,Elektrische fiets,"elektrische-fiets, vogue, middenmotor, ananda-m80, geveerd, schijfremmen, 540wh",TRUE,Kleur,Mat Grijs/Blauw,,,shopify,deny,manual,1848.00,1949.00,TRUE,TRUE,,,,FALSE,active
vogue-pantheon,,,,,,,,Mat Zwart,,,shopify,deny,manual,1848.00,1949.00,TRUE,TRUE,,,,,active
